Source_ID,Source_Sheet,Expected_Record_Count,Expected_Date_Min,Expected_Date_Max,Resource_ID,Revision_ID,Acquisition_Strategy,Revision_Download_URLs,Expected_Curated_Content_SHA256,Known_Independent_Raw_SHA256,Dataset_Page,Upstream_License,Notes
SRC064,2025-06-june,532,2025-06-02,2025-06-24,14d1af19-6090-486a-a8fc-008ba8bfd8cb,461351,direct_revision_url,https://data.gov.ua/dataset/133ce38c-9533-4fb0-b146-b211299a8731/resource/14d1af19-6090-486a-a8fc-008ba8bfd8cb/revision/461351/download,3418116899fa0f273edc4fb947022c708c7544ed6e699b3406e9728aa5f5187f,,https://data.gov.ua/dataset/surface-water-monitoring,Creative Commons Attribution 4.0 International (CC BY 4.0),
SRC065,2025-07-july,531,2025-07-01,2025-07-28,14d1af19-6090-486a-a8fc-008ba8bfd8cb,461353,direct_revision_url,https://data.gov.ua/dataset/133ce38c-9533-4fb0-b146-b211299a8731/resource/14d1af19-6090-486a-a8fc-008ba8bfd8cb/revision/461353/download,2727ea39280db0cf0237c0872feeac5513152175b1f45b8b1bd7d78f7f24eedd,,https://data.gov.ua/dataset/surface-water-monitoring,Creative Commons Attribution 4.0 International (CC BY 4.0),
SRC066,2025-08-august,526,2025-08-04,2025-08-26,14d1af19-6090-486a-a8fc-008ba8bfd8cb,461370,direct_revision_url,https://data.gov.ua/dataset/133ce38c-9533-4fb0-b146-b211299a8731/resource/14d1af19-6090-486a-a8fc-008ba8bfd8cb/revision/461370/download,366220402ca371169c8e407a4bb82ec42d9be5fa8edaca57137f72ec4efc215f,,https://data.gov.ua/dataset/surface-water-monitoring,Creative Commons Attribution 4.0 International (CC BY 4.0),
SRC067,2025-09-september,278,2025-09-01,2025-09-10,14d1af19-6090-486a-a8fc-008ba8bfd8cb,466130,direct_revision_url,https://data.gov.ua/dataset/133ce38c-9533-4fb0-b146-b211299a8731/resource/14d1af19-6090-486a-a8fc-008ba8bfd8cb/revision/466130/download,6f6372ffdb8e1f14b8e7eee4d96b12af977c63f4cb85aa830fa02328abd30bd1,,https://data.gov.ua/dataset/surface-water-monitoring,Creative Commons Attribution 4.0 International (CC BY 4.0),
SRC068,2025-10-october,384,2025-10-01,2025-10-23,14d1af19-6090-486a-a8fc-008ba8bfd8cb,471874,direct_revision_url,https://data.gov.ua/dataset/133ce38c-9533-4fb0-b146-b211299a8731/resource/14d1af19-6090-486a-a8fc-008ba8bfd8cb/revision/471874/download,18434a2b774d9b02c9cd30a5f6491339562b83b8276b4a46fe182e46711d0bb5,,https://data.gov.ua/dataset/surface-water-monitoring,Creative Commons Attribution 4.0 International (CC BY 4.0),
SRC069,2025-11-november,364,2025-11-03,2025-11-25,14d1af19-6090-486a-a8fc-008ba8bfd8cb,475923,direct_revision_url,https://data.gov.ua/dataset/133ce38c-9533-4fb0-b146-b211299a8731/resource/14d1af19-6090-486a-a8fc-008ba8bfd8cb/revision/475923/download,785abdb083e4e6e746727cdc1258b9a203f8364fdbdfb15d0c0a8b51ae5126cd,,https://data.gov.ua/dataset/surface-water-monitoring,Creative Commons Attribution 4.0 International (CC BY 4.0),
SRC070,2025-12-december,332,2025-12-01,2025-12-17,14d1af19-6090-486a-a8fc-008ba8bfd8cb,480855,direct_revision_url,https://data.gov.ua/dataset/133ce38c-9533-4fb0-b146-b211299a8731/resource/14d1af19-6090-486a-a8fc-008ba8bfd8cb/revision/480855/download,ed02f37c33510785226cc77c73c7d32e2e863c88d68cd7707335bbdb050dd53a,,https://data.gov.ua/dataset/surface-water-monitoring,Creative Commons Attribution 4.0 International (CC BY 4.0),
SRC071,2026-01-january,312,2026-01-05,2026-01-29,14d1af19-6090-486a-a8fc-008ba8bfd8cb,485884,direct_revision_url,https://data.gov.ua/dataset/133ce38c-9533-4fb0-b146-b211299a8731/resource/14d1af19-6090-486a-a8fc-008ba8bfd8cb/revision/485884/download,c15a40b06e309eed208253d222e8762243a9180fb8713995fecfb22ed2dde3b2,,https://data.gov.ua/dataset/surface-water-monitoring,Creative Commons Attribution 4.0 International (CC BY 4.0),
SRC072,2026-02-february,405,2026-02-02,2026-02-24,14d1af19-6090-486a-a8fc-008ba8bfd8cb,492272,direct_revision_url,https://data.gov.ua/dataset/133ce38c-9533-4fb0-b146-b211299a8731/resource/14d1af19-6090-486a-a8fc-008ba8bfd8cb/revision/492272/download,b6d94020771ef534ff8eef7b1b7bd549c61a3f4bb82cece4e3c89a0925fd5edb,,https://data.gov.ua/dataset/surface-water-monitoring,Creative Commons Attribution 4.0 International (CC BY 4.0),
SRC073,2026-03-01_2026-03-31_output,540,2026-03-02,2026-03-24,14d1af19-6090-486a-a8fc-008ba8bfd8cb,496552,direct_revision_url,https://data.gov.ua/dataset/133ce38c-9533-4fb0-b146-b211299a8731/resource/14d1af19-6090-486a-a8fc-008ba8bfd8cb/revision/496552/download,42a5f70d3205a625890cceb899b37834f00f005058a7f65a0c4b8427b8c68a27,,https://data.gov.ua/dataset/surface-water-monitoring,Creative Commons Attribution 4.0 International (CC BY 4.0),
SRC074,2026-04-01_2026-04-30_output,348,2026-04-01,2026-04-28,14d1af19-6090-486a-a8fc-008ba8bfd8cb,515626,direct_revision_url,https://data.gov.ua/dataset/133ce38c-9533-4fb0-b146-b211299a8731/resource/14d1af19-6090-486a-a8fc-008ba8bfd8cb/revision/515626/download,cf2984987b7a1722476f2ca7068ee2745d85c51462fdc497c9205bd0508e8f93,,https://data.gov.ua/dataset/surface-water-monitoring,Creative Commons Attribution 4.0 International (CC BY 4.0),
SRC075,2026-05-may,545,2026-05-04,2026-05-27,14d1af19-6090-486a-a8fc-008ba8bfd8cb,515627,direct_revision_url,https://data.gov.ua/dataset/133ce38c-9533-4fb0-b146-b211299a8731/resource/14d1af19-6090-486a-a8fc-008ba8bfd8cb/revision/515627/download,119d767eef7e610926b66a5208c475c0ff6b75bdb2e239ba914d71fb3531dc69,,https://data.gov.ua/dataset/surface-water-monitoring,Creative Commons Attribution 4.0 International (CC BY 4.0),
SRC076,2026-06-june,530,2026-06-01,2026-06-24,14d1af19-6090-486a-a8fc-008ba8bfd8cb,515631,direct_revision_url,https://data.gov.ua/dataset/133ce38c-9533-4fb0-b146-b211299a8731/resource/14d1af19-6090-486a-a8fc-008ba8bfd8cb/revision/515631/download,096b60b86782ec9b8318b7da2a05386b15e083b2c86e69376f47b7982a3fedb6,,https://data.gov.ua/dataset/surface-water-monitoring,Creative Commons Attribution 4.0 International (CC BY 4.0),
SRC077,2026-07-01_2026-07-31_output,402,2026-07-01,2026-07-28,14d1af19-6090-486a-a8fc-008ba8bfd8cb,519157,direct_revision_url,https://data.gov.ua/dataset/133ce38c-9533-4fb0-b146-b211299a8731/resource/14d1af19-6090-486a-a8fc-008ba8bfd8cb/revision/519157/download,651b6cd551cc0a6eb64e1b81e733c13d38d8e0ccf290218f4f2a2b927f8d6e74,,https://data.gov.ua/dataset/surface-water-monitoring,Creative Commons Attribution 4.0 International (CC BY 4.0),
